{'loss': '0.02486', 'grad_norm': '0.2459', 'learning_rate':'1.475e-05', 'epoch': '2.78'}
{'loss': '0.02199', 'grad_norm': '0.2352', 'learning_rate':'1.464e-05', 'epoch': '2.782'}
{'loss': '0.02038', 'grad_norm': '0.07257', 'learning_rate': '1.453e-05', 'epoch': '2.783'}
{'loss': '0.03091', 'grad_norm': '0.2178', 'learning_rate':'1.442e-05', 'epoch': '2.785'}
{'loss': '0.02121', 'grad_norm': '0.08371', 'learning_rate': '1.43e-05', 'epoch': '2.787'}
{'loss': '0.0256', 'grad_norm': '0.2331', 'learning_rate': '1.419e-05', 'epoch': '2.788'}
{'loss': '0.02528', 'grad_norm': '0.09072', 'learning_rate': '1.408e-05', 'epoch': '2.79'}
{'loss': '0.02974', 'grad_norm': '0.07231', 'learning_rate': '1.397e-05', 'epoch': '2.792'}
{'loss': '0.01978', 'grad_norm': '0.09048', 'learning_rate': '1.386e-05', 'epoch': '2.793'}
{'loss': '0.01805', 'grad_norm': '0.09405', 'learning_rate': '1.375e-05', 'epoch': '2.795'}
{'loss': '0.02291', 'grad_norm': '0.2375', 'learning_rate':'1.364e-05', 'epoch': '2.797'}
{'loss': '0.01919', 'grad_norm': '0.1704', 'learning_rate':'1.353e-05', 'epoch': '2.798'}
{'loss': '0.0245', 'grad_norm': '0.114', 'learning_rate': '1.341e-05', 'epoch': '2.8'}
{'loss': '0.03436', 'grad_norm': '0.244', 'learning_rate': '1.33e-05', 'epoch': '2.802'}
{'loss': '0.02133', 'grad_norm': '0.1192', 'learning_rate':'1.319e-05', 'epoch': '2.803'}
{'loss': '0.02816', 'grad_norm': '0.08281', 'learning_rate': '1.308e-05', 'epoch': '2.805'}
{'loss': '0.0239', 'grad_norm': '0.2177', 'learning_rate': '1.297e-05', 'epoch': '2.807'}
{'loss': '0.02894', 'grad_norm': '0.2515', 'learning_rate':'1.286e-05', 'epoch': '2.808'}
{'loss': '0.02408', 'grad_norm': '0.1233', 'learning_rate':'1.275e-05', 'epoch': '2.81'}
{'loss': '0.02284', 'grad_norm': '0.1087', 'learning_rate':'1.264e-05', 'epoch': '2.812'}
{'loss': '0.0195', 'grad_norm': '0.1536', 'learning_rate': '1.253e-05', 'epoch': '2.813'}
{'loss': '0.03125', 'grad_norm': '0.298', 'learning_rate': '1.241e-05', 'epoch': '2.815'}
{'loss': '0.02861', 'grad_norm': '0.08123', 'learning_rate': '1.23e-05', 'epoch': '2.817'}
{'loss': '0.02353', 'grad_norm': '0.1816', 'learning_rate':'1.219e-05', 'epoch': '2.818'}
{'loss': '0.02481', 'grad_norm': '0.1373', 'learning_rate':'1.208e-05', 'epoch': '2.82'}
{'loss': '0.02386', 'grad_norm': '0.1509', 'learning_rate':'1.197e-05', 'epoch': '2.822'}
{'loss': '0.01797', 'grad_norm': '0.05204', 'learning_rate': '1.186e-05', 'epoch': '2.823'}
{'loss': '0.02297', 'grad_norm': '0.1817', 'learning_rate':'1.175e-05', 'epoch': '2.825'}
{'loss': '0.02625', 'grad_norm': '0.09389', 'learning_rate': '1.164e-05', 'epoch': '2.827'}
{'loss': '0.02294', 'grad_norm': '0.05099', 'learning_rate': '1.152e-05', 'epoch': '2.828'}
{'loss': '0.0261', 'grad_norm': '0.1989', 'learning_rate': '1.141e-05', 'epoch': '2.83'}
{'loss': '0.03299', 'grad_norm': '0.2332', 'learning_rate':'1.13e-05', 'epoch': '2.832'}
{'loss': '0.02005', 'grad_norm': '0.1461', 'learning_rate':'1.119e-05', 'epoch': '2.833'}
{'loss': '0.02999', 'grad_norm': '0.1183', 'learning_rate':'1.108e-05', 'epoch': '2.835'}
{'loss': '0.0292', 'grad_norm': '0.1169', 'learning_rate': '1.097e-05', 'epoch': '2.837'}
{'loss': '0.0171', 'grad_norm': '0.1102', 'learning_rate': '1.086e-05', 'epoch': '2.838'}
{'loss': '0.02126', 'grad_norm': '0.1145', 'learning_rate':'1.075e-05', 'epoch': '2.84'}
{'loss': '0.02319', 'grad_norm': '0.06218', 'learning_rate': '1.063e-05', 'epoch': '2.842'}
{'loss': '0.0201', 'grad_norm': '0.0969', 'learning_rate': '1.052e-05', 'epoch': '2.843'}
{'loss': '0.02306', 'grad_norm': '0.2368', 'learning_rate':'1.041e-05', 'epoch': '2.845'}
{'loss': '0.0213', 'grad_norm': '0.1138', 'learning_rate': '1.03e-05', 'epoch': '2.847'}
{'loss': '0.02086', 'grad_norm': '0.1146', 'learning_rate':'1.019e-05', 'epoch': '2.848'}
{'loss': '0.01705', 'grad_norm': '0.09107', 'learning_rate': '1.008e-05', 'epoch': '2.85'}
{'loss': '0.025', 'grad_norm': '0.1618', 'learning_rate': '9.967e-06', 'epoch': '2.852'}
{'loss': '0.02103', 'grad_norm': '0.147', 'learning_rate': '9.855e-06', 'epoch': '2.853'}
{'loss': '0.01995', 'grad_norm': '0.2091', 'learning_rate':'9.744e-06', 'epoch': '2.855'}
{'loss': '0.02184', 'grad_norm': '0.1707', 'learning_rate':'9.633e-06', 'epoch': '2.857'}
{'loss': '0.02473', 'grad_norm': '0.1763', 'learning_rate':'9.522e-06', 'epoch': '2.858'}
{'loss': '0.02516', 'grad_norm': '0.1756', 'learning_rate':'9.41e-06', 'epoch': '2.86'}
{'loss': '0.02632', 'grad_norm': '0.08568', 'learning_rate': '9.299e-06', 'epoch': '2.862'}
